"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration_max","duration_min","duration_only"
42,1,1690-07-01 00:00:00,1690-07-02 00:00:00,1690-07-01 00:00:00,1690-07-02 00:00:00,1440,0,FALSE
43,1,1690-07-11 11:00:00,1690-07-11 11:00:00,1690-07-11 14:00:00,1690-07-11 14:00:00,180,180,FALSE
44,1,1691-07-22 14:00:00,1691-07-22 14:00:00,1691-07-22 20:00:00,1691-07-22 20:00:00,360,360,FALSE
45,1,1692-08-03 12:00:00,1692-08-03 12:00:00,1692-08-03 19:00:00,1692-08-03 19:00:00,420,420,FALSE
46,1,1693-07-29 04:00:00,1693-07-29 04:00:00,1693-07-29 15:00:00,1693-07-29 15:00:00,660,660,FALSE
47,1,1693-10-04 00:00:00,1693-10-05 00:00:00,1693-10-04 00:00:00,1693-10-05 00:00:00,270,270,TRUE
48,1,1697-09-11 15:00:00,1697-09-11 15:00:00,1697-09-11 19:30:00,1697-09-11 19:30:00,270,270,FALSE
49,1,1709-06-28 00:00:00,1709-06-29 00:00:00,1709-06-28 00:00:00,1709-06-29 00:00:00,1440,0,FALSE
50,1,1704-08-13 12:30:00,1704-08-13 12:30:00,1704-08-13 21:00:00,1704-08-13 21:00:00,510,510,FALSE
51,1,1706-05-23 13:00:00,1706-05-23 13:00:00,1706-05-23 19:00:00,1706-05-23 19:00:00,360,360,FALSE
52,1,1708-07-11 15:00:00,1708-07-11 15:00:00,1708-07-11 21:00:00,1708-07-11 21:00:00,360,360,FALSE
53,1,1709-09-11 08:00:00,1709-09-11 08:00:00,1709-09-11 15:00:00,1709-09-11 15:00:00,420,420,FALSE
54,1,1716-08-05 07:00:00,1716-08-05 07:00:00,1716-08-05 12:00:00,1716-08-05 12:00:00,300,300,FALSE
55,1,1741-04-10 12:00:00,1741-04-10 12:00:00,1741-04-10 18:45:00,1741-04-10 18:45:00,405,405,FALSE
56,1,1742-05-17 08:00:00,1742-05-17 08:00:00,1742-05-17 12:00:00,1742-05-17 12:00:00,240,240,FALSE
