"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration"
49,1,1709-06-28 00:00:00,1709-06-29 00:00:00,1709-06-28 00:00:00,1709-06-29 00:00:00,
50,1,1704-08-13 12:30:00,1704-08-13 12:30:00,1704-08-13 12:30:00,1704-08-13 12:30:00,
51,1,1706-05-23 13:00:00,1706-05-23 13:00:00,1706-05-23 13:00:00,1706-05-23 13:00:00,
52,1,1708-07-11 15:00:00,1708-07-11 15:00:00,1708-07-11 15:00:00,1708-07-11 15:00:00,
53,1,1709-09-11 08:00:00,1709-09-11 08:00:00,1709-09-11 08:00:00,1709-09-11 08:00:00,
54,1,1716-08-05 07:00:00,1716-08-05 07:00:00,1716-08-05 07:00:00,1716-08-05 07:00:00,
55,1,1741-04-10 12:00:00,1741-04-10 12:00:00,1741-04-10 12:00:00,1741-04-10 12:00:00,
56,1,1742-05-17 08:00:00,1742-05-17 08:00:00,1742-05-17 08:00:00,1742-05-17 08:00:00,
57,1,1743-06-27 00:00:00,1743-06-28 00:00:00,1743-06-27 00:00:00,1743-06-28 00:00:00,
58,1,1745-05-11 05:00:00,1745-05-11 05:00:00,1745-05-11 05:00:00,1745-05-11 05:00:00,
59,1,1745-06-04 04:00:00,1745-06-04 04:00:00,1745-06-04 04:00:00,1745-06-04 04:00:00,
60,1,1745-09-30 07:00:00,1745-09-30 07:00:00,1745-09-30 07:00:00,1745-09-30 07:00:00,
61,1,1745-12-14 14:00:00,1745-12-14 14:00:00,1745-12-14 14:00:00,1745-12-14 14:00:00,
62,1,1745-09-21 04:30:00,1745-09-21 04:30:00,1745-09-21 04:30:00,1745-09-21 04:30:00,
63,1,1746-04-16 13:10:00,1746-04-16 13:10:00,1746-04-16 13:10:00,1746-04-16 13:10:00,
64,1,1756-10-01 11:00:00,1756-10-01 11:00:00,1756-10-01 11:00:00,1756-10-01 11:00:00,
65,1,1757-05-06 11:00:00,1757-05-06 11:00:00,1757-05-06 11:00:00,1757-05-06 11:00:00,
66,1,1757-06-23 08:00:00,1757-06-23 08:00:00,1757-06-23 08:00:00,1757-06-23 08:00:00,
67,1,1757-06-18 14:00:00,1757-06-18 14:00:00,1757-06-18 14:00:00,1757-06-18 14:00:00,
68,1,1757-07-26 09:00:00,1757-07-26 09:00:00,1757-07-26 09:00:00,1757-07-26 09:00:00,
69,1,1757-11-05 15:30:00,1757-11-05 15:30:00,1757-11-05 15:30:00,1757-11-05 15:30:00,
70,1,1757-12-05 13:00:00,1757-12-05 13:00:00,1757-12-05 13:00:00,1757-12-05 13:00:00,
71,1,1758-06-23 13:00:00,1758-06-23 13:00:00,1758-06-23 13:00:00,1758-06-23 13:00:00,
72,1,1758-08-25 10:00:00,1758-08-25 10:00:00,1758-08-25 10:00:00,1758-08-25 10:00:00,
73,1,1758-10-14 05:00:00,1758-10-14 05:00:00,1758-10-14 05:00:00,1758-10-14 05:00:00,
74,1,1759-04-13 00:00:00,1759-04-14 00:00:00,1759-04-13 00:00:00,1759-04-14 00:00:00,
75,1,1759-08-01 06:00:00,1759-08-01 06:00:00,1759-08-01 06:00:00,1759-08-01 06:00:00,
76,1,1759-08-12 11:30:00,1759-08-12 11:30:00,1759-08-12 11:30:00,1759-08-12 11:30:00,
77,1,1759-09-13 10:00:00,1759-09-13 10:00:00,1759-09-13 10:00:00,1759-09-13 10:00:00,
78,1,1759-11-20 11:00:00,1759-11-20 11:00:00,1759-11-20 11:00:00,1759-11-20 11:00:00,
79,1,1760-07-31 00:00:00,1760-08-01 00:00:00,1760-07-31 00:00:00,1760-08-01 00:00:00,
80,1,1760-08-15 05:00:00,1760-08-15 05:00:00,1760-08-15 05:00:00,1760-08-15 05:00:00,
81,1,1760-11-03 14:00:00,1760-11-03 14:00:00,1760-11-03 14:00:00,1760-11-03 14:00:00,
82,1,1775-06-17 15:00:00,1775-06-17 15:00:00,1775-06-17 15:00:00,1775-06-17 15:00:00,
83,1,1776-01-01 04:00:00,1776-01-01 04:00:00,1776-01-01 04:00:00,1776-01-01 04:00:00,
84,1,1776-10-28 08:00:00,1776-10-28 08:00:00,1776-10-28 08:00:00,1776-10-28 08:00:00,
85,1,1776-12-26 08:00:00,1776-12-26 08:00:00,1776-12-26 08:00:00,1776-12-26 08:00:00,
86,1,1777-01-03 08:00:00,1777-01-03 08:00:00,1777-01-03 08:00:00,1777-01-03 08:00:00,
87,1,1777-09-19 12:45:00,1777-09-19 12:45:00,1777-09-19 12:45:00,1777-09-19 12:45:00,
88,1,1777-10-04 06:00:00,1777-10-04 06:00:00,1777-10-04 06:00:00,1777-10-04 06:00:00,
89,1,1777-10-07 14:30:00,1777-10-07 14:30:00,1777-10-07 14:30:00,1777-10-07 14:30:00,
90,1,1778-06-28 10:00:00,1778-06-28 10:00:00,1778-06-28 10:00:00,1778-06-28 10:00:00,
91,1,1780-08-16 02:00:00,1780-08-16 02:00:00,1780-08-16 02:00:00,1780-08-16 02:00:00,
91,2,1780-08-16 04:30:00,1780-08-16 04:30:00,1780-08-16 04:30:00,1780-08-16 04:30:00,
92,1,1781-01-17 07:00:00,1781-01-17 07:00:00,1781-01-17 07:00:00,1781-01-17 07:00:00,
93,1,1781-03-15 13:30:00,1781-03-15 13:30:00,1781-03-15 13:30:00,1781-03-15 13:30:00,
94,1,1781-04-25 10:00:00,1781-04-25 10:00:00,1781-04-25 10:00:00,1781-04-25 10:00:00,
95,1,1781-09-08 09:05:00,1781-09-08 09:05:00,1781-09-08 09:05:00,1781-09-08 09:05:00,
