 ,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,T,T, ,,,,,,C,,PERS,,,,C,,PERS,,,,,,,,CLOSE,,,,,,,,,CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,R,R,R,,,,,,,R,R,R,S,S,C,C,S,S,C,C,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
303,WORLD WAR I (TURKISH FRONTS 1915),CTESIPHON,MESOPOTAMIA,MESOPOTAMIA 1915,BR MESOPOTAMIAN FIELD FORCE,MG TOWNSHEND,TK ARMY,NUR-UD-DIN PASHA,12.1,16,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,1,FD,PD,1,1,0,FM0,000,DSTFT,DSTFD,00000,0,1,13756,1,13756,0,4593,9163,20400,3,-1,-1,6188,14212,0,0,0,0,30,-1,0,0,2,0,0,0,0,52,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,1.5,4,6,1,1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,EE,LF,00,FF,00,00,RR,WD,00,DO,FF,00,00,00,00,00,00,00,0,-18,10,-10,0,-12,10,-10,1,1915,11,22,9999,1915,11,24,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,WORLD WAR I,FIRST SOMME,FRANCE,WESTERN FRONT 1916,BR 4TH & 6TH ARMIES,GEN RAWLINSON & GEN FAYOLLE,GER 2ND ARMY,GEN BELOW,62.4,62.4,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,RM0,000,WHTST,DSTST,00000,0,1,600000,1,600000,-1,670000,-1,300000,1,300000,-1,500000,-1,0,49,0,49,1537,-1,33,-1,-1,0,0,0,0,400,-1,0,-1,-1,0,0,0,0,0,0,0,1,0,-1,12,4,5,1,0,-1,0,1,0,-1,0,0,0,0,0,0,-1,-1,FF,00,00,00,00,00,PP,RR,SS,DO,FF,00,00,00,00,PP,RR,SS,15,-15,19,-8,0,-17,8,0,1,1916,07,01,9999,1916,09,30,9999,1916,11,01,9999,1916,11,24,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,WORLD WAR I,SOMME-FOURTH ARMY ATTACK,FRANCE,SOMME,BR 4TH ARMY,GEN RAWLINSON,GER 2ND ARMY,GEN BELOW,19.2,19.2,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,RM0,000,DSTST,00000,00000,0,1,290000,1,290000,0,57450,232550,95000,1,95000,0,8000,87000,0,0,0,0,1537,-1,0,-1,-1,0,0,0,0,-1,-1,0,20,-1,0,0,0,0,0,1,0,0,1,-1,1.5,3,7,1,0,0,0,0,0,0,-1,-2,0,-1,0,0,-2,-2,FF,00,00,00,00,00,PP,RR,SS,DO,FF,00,00,00,00,PP,SS,00,0,-25,5,-5,0,-15,10,0,1,1916,07,01,0730,1916,07,01,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,WORLD WAR I,SOMME-OVILLERS,FRANCE,SOMME,BR 8TH DIV,MG HUDSON,GER 180TH INF RGT,?,1.4,1.4,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,RM0,000,DSTST,00000,00000,0,1,11300,1,11300,0,5121,6179,2800,1,2800,0,281,2519,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,0,0,-1,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,FF,00,00,00,00,00,PP,RR,SS,DO,FF,00,00,00,00,PP,SS,00,0,-15,5,-5,0,-15,5,-5,1,1916,07,01,0730,1916,07,01,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,WORLD WAR I,SOMME-BAZENTIN RIDGE,FRANCE,SOMME,BR 4TH ARMY(-),GEN RAWLINSON,GER 3RD GUARDS DIV,GEN BELOW,4.5,4.5,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,RM0,000,DSTST,00000,00000,2,1,45000,1,45000,0,9000,36000,15000,1,15000,-1,4000,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,0,1,0,1.4,5,5,2,0,0,0,0,1,0,0,0,1,1,1,0,-1,-1,FF,00,00,00,00,00,PP,RR,SS,DO,FF,00,00,00,00,SS,00,00,0,-33,2,-2,15,0,15,-15,1,1916,07,14,0330,1916,07,14,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,WORLD WAR I,SOMME-FLERS-COURCELETTE,FRANCE,SOMME,BR 4TH AND RESERVE ARMIES,GEN HAIG,GER 1ST ARMY,GEN BELOW,9.6,9.6,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,RM0,000,DSTFT,WHTFT,00000,3,1,190000,1,190000,0,3500,186500,90000,1,90000,0,3000,87000,0,36,0,36,-1,-1,25,-1,-1,0,0,0,0,800,-1,0,-1,-1,1,0,0,0,0,1,0,1,1,1,2,7,5,2,0,0,1,0,0,0,0,0,1,1,0,0,-1,-1,FF,00,00,00,00,00,PP,SS,00,DD,00,00,00,00,00,SS,00,00,0,-20,20,-20,0,-20,20,-10,1,1916,09,15,0620,1916,09,15,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,WORLD WAR I,CAUCASUS WINTER OFFENSIVE,TURKEY,CAUCASUS 1916,RUSS ARMY,GEN YUDENICH,TK 3RD ARMY,ABDUL KERIM PASHA,110,110,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,GM0,000,WHCWT,00000,00000,3,0,103000,3,-1,-1,8000,95000,61000,3,-1,-1,25000,36000,0,0,0,0,239,-1,0,-1,-1,0,0,0,0,100,-1,0,12,-1,0,1,0,0,1,0,0,0,1,1,77,8,3,1,1,0,0,0,0,1,-1,1,1,2,0,1,-1,0,FF,DE,00,00,00,00,BB,PS,00,DD,00,00,00,00,00,WL,00,00,0,-22,20,0,0,-20,20,0,1,1916,01,10,9999,1916,01,16,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,WORLD WAR I,LAKE NAROTCH,RUSSIAN POLAND,EASTERN FRONT 1916,RUSS 2ND ARMY,GEN SMIRNOV,GER 10TH ARMY,GEN EICHHORN,20,20,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,PD,OO,0,0,0,RM0,000,DST$T,00000,00000,0,0,350000,3,-1,-1,100000,250000,180000,3,-1,-1,20000,160000,0,0,0,0,887,-1,0,-1,-1,0,0,0,0,440,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,4,6,1,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,FF,00,00,00,00,00,RR,SS,00,DD,00,00,00,00,00,SS,00,00,0,-14,0,-30,0,-50,10,-10,1,1916,03,18,9999,1916,03,26,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,WORLD WAR I,1916 BRUSILOV OFFENSIVE,AUSTRIAN GALICIA,EASTERN FRONT 1916,RUSS SOUTHWEST ARMY GROUP,GEN BRUSILOV,"AUS 2ND, 4TH & 7TH, & SUD ARMIES",GEN CONRAD,400,400,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,PD,OO,0,0,0,RM0,000,DSTST,00000,00000,2,0,600000,1,600000,-1,495000,-1,500000,1,500000,-1,260000,-1,0,0,0,0,1938,0,0,-1,0,0,0,0,0,1846,0,0,330,0,0,0,0,0,1,0,0,0,1,1,61.2,7,3,1,0,1,0,0,0,0,-1,1,1,1,0,0,-1,0,FF,00,00,00,00,00,PP,SS,00,DD,00,00,00,00,00,WL,00,00,5,-15,5,-15,5,-15,5,-15,1,1916,06,04,9999,1916,07,07,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,WORLD WAR I,FIFTH ISONZO,AUSTRIA,ISONZO FRONT 1916,IT 2ND & 3RD ARMIES,GEN CADORNA,AUS 5TH ARMY,GEN BOROJEVIC,48,48,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,FD,OO,0,0,0,GM0,000,WHC$T,00000,00000,0,0,300000,3,-1,-1,3800,296200,160000,3,-1,-1,1985,158015,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,4,6,2,0,0,0,0,0,-1,-1,0,0,0,0,0,-2,-1,FF,00,00,00,00,00,RR,SS,00,DD,00,00,00,00,00,SS,00,00,20,-20,31,0,20,-20,10,-10,1,1916,03,11,9999,1916,03,15,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
