"ISQNO","WAR","NAME","LOCN","CAMPGN","NAMA","COA","NAMD","COD","WOFA1","WOFD1","YR1","MO1","DA1","HR1","WOFA2","WOFD2","YR2","MO2","DA2","HR2","WOFA3","WOFD3","YR3","MO3","DA3","HR3","POSTYPE","POST1","POST2","FRONT","DEPTH","TIME","TERRA1","TERRA2","WX1","WX2","WX3","SURPA","AEROA","STRA","CODEA","INTSTA","RERPA","CASA","FINSTA","STRD","CODED","INTSTD","RERPD","CASD","FINSTD","CAVA","TANKA","LTA","MBTA","ARTYA","FLYA","CTANKA","CARTYA","CFLYA","CAVD","TANKD","LTD","MBTD","ARTYD","FLYD","CTANKD","CARTYD","CFLYD","CEA","LEADA","TRNGA","MORALA","LOGSA","MOMNTA","INTELA","TECHA","INITA","WINA","KMDA","ACHA","ACHD","CRIT","QUALA","RESA","MOBILA","AIRA","FPREPA","WXA","TERRA","LEADAA","PLANA","SURPAA","MANA","LOGSAA","FORTSA","DEEPA","PRIA1","PRIA2","PRIA3","SECA1","SECA2","SECA3","RESOA1","RESOA2","RESOA3","PRID1","PRID2","PRID3","SECD1","SECD2","SECD3","RESOD1","RESOD2","RESOD3","STRAPL","STRAMI","CASAPL","CASAMI","STRDPL","STRDMI","CASDPL","CASDMI","NOATP","ATPBYR1","ATPBMN1","ATPBDA1","ATPBHR1","ATPEYR1","ATPEMN1","ATPEDA1","ATPEHR1","ATPBYR2","ATPBMN2","ATPBDA2","ATPBHR2","ATPEYR2","ATPEMN2","ATPEDA2","ATPEHR2","ATPBYR3","ATPBMN3","ATPBDA3","ATPBHR3","ATPEYR3","ATPEMN3","ATPEDA3","ATPEHR3","ATPBYR4","ATPBMN4","ATPBDA4","ATPBHR4","ATPEYR4","ATPEMN4","ATPEDA4","ATPEHR4","ATPBYR5","ATPBMN5","ATPBDA5","ATPBHR5","ATPEYR5","ATPEMN5","ATPEDA5","ATPEHR5","ATPBYR6","ATPBMN6","ATPBDA6","ATPBHR6","ATPEYR6","ATPEMN6","ATPEDA6","ATPEHR6","ATPBYR7","ATPBMN7","ATPBDA7","ATPBHR7","ATPEYR7","ATPEMN7","ATPEDA7","ATPEHR7","ATPBYR8","ATPBMN8","ATPBDA8","ATPBHR8","ATPEYR8","ATPEMN8","ATPEDA8","ATPEHR8","ATPBYR9","ATPBMN9","ATPBDA9","ATPBHR9","ATPEYR9","ATPEMN9","ATPEDA9","ATPEHR9","ATPBYR10","ATPBMN10","ATPBDA10","ATPBHR10","ATPEYR10","ATPEMN10","ATPEDA10","ATPEHR10","INSTA","INSTD","CAMPAGN"
11,"THIRTY YEAR'S WAR","WITTSTOCK","BRANDENBURG","E GERMANY 1636","SW ARMY","BANER","IMP & SAXON ARMY","HATZFELD AND JOHN GEORGE",4.4,3,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",1,0,"22000",1,"22000",0,"7000","15000","30000",1,"30000",0,"18000","12000",12000,0,0,0,-1,0,0,-1,0,14000,0,0,0,42,0,0,42,0,1,1,0,0,0,0,0,0,1,1,1,9,3,1,1,0,0,0,0,0,-2,1,1,1,0,0,-1,0,"EE","RF","00","FF","00","00","BB","PS","00","DO","FF","00","00","00",0,"AA","00","00",0,-26,0,-53,0,-30,0,-72,1,1636,10,4,9999,1636,10,4,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"THIRTY YEAR'S WAR","BREITENFELD II","SAXONY","SAXONY 1642","SW ARMY","TORTENSSON","IMP ARMY","LEOPOLD WILLIAM",3.5,3.5,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,0,"25000",1,"25000",0,"5000","20000","30000",1,"30000",0,"15000","15000",10000,0,0,0,70,0,0,0,0,8000,0,0,0,46,0,0,46,0,0,1,0,0,0,0,0,0,1,1,1,9,3,1,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,"EE","LF","00","FF","00","00","BB","PS","00","DO","EE","RF","00","00",0,"WL","00","00",0,-20,0,-20,0,-13,0,-33,1,1642,11,2,700,1642,11,2,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"THIRTY YEAR'S WAR","ROCROI","FRANCE","NE FRANCE 1643","FR ARMY","ENGHIEN","SP NETHERLANDS ARMY","MELLO",2.4,1.8,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DST$T","00000","00000",0,0,"23000",1,"23000",0,"4000","19000","26000",1,"26000",0,"14000","12000",7000,0,0,0,12,0,0,0,0,7000,0,0,0,18,0,0,18,0,0,2,0,0,0,1,1,0,1,1,1,8,3,1,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,"EE","LF","00","FF","00","00","BB","PS","00","DO","FF","00","00","00",0,"AA","00","00",0,-13,0,-10,0,-4,0,-16,1,1643,5,19,330,1643,5,19,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"THIRTY YEAR'S WAR","TUTTLINGEN","WUERTTEMBERG","SWABIA 1643","IMP ARMY","MERCY","FR ARMY OF GERMANY","RANTZAU",3,2,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",2,0,"22000",1,"22000",0,"1000","21000","18000",1,"18000",0,"7000","11000",5000,0,0,0,-1,0,0,-1,0,8000,0,0,0,10,0,0,10,0,0,2,0,0,0,0,1,0,1,1,2,9,2,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,"FF","00","00","EE","00","00","BB","PS","00","DD","00","00","00","00",0,"WL","00","00",0,-9,0,-50,33,0,57,0,1,1643,11,24,9999,1643,11,24,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"THIRTY YEAR'S WAR","FREIBURG","SWABIA","SWABIA 1644","FR ARMY","CONDE & TURENNE","IMP ARMY","MERCY",6.4,6.4,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"GM0","000","DSTST","00000","00000",0,0,"19000",1,"19000",0,"8000","11000","16000",1,"16000",0,"4000","12000",8000,0,0,0,37,0,0,0,0,8000,0,0,0,28,0,0,28,0,0,0,0,0,0,0,1,0,1,1,9,7,6,1,0,0,0,0,0,0,-1,1,0,0,0,0,-1,-1,"FF","00","00","EE","LF","00","PP","PS","00","DD","00","00","00","00",0,"WD","00","00",5,0,0,-25,31,-6,125,0,4,1644,8,3,1700,1644,8,3,2300,1644,8,5,830,1644,8,5,1000,1644,8,5,1500,1644,8,5,1700,1644,8,9,5000,1644,8,9,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"THIRTY YEAR'S WAR","JANKAU","BOHEMIA","BOHEMIA 1645","IMP ARMY","HATZFELD","SW ARMY","TORSTENSSON",3.1,3.1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"GM0","000","DST$T","00000","00000",3,0,"15000",1,"15000",0,"8500","6500","15000",1,"15000",0,"2000","13000",10000,0,0,0,26,0,0,26,0,9000,0,0,0,80,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,-2,4,6,1,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,"FF","00","00","EE","RR","00","RR","AA","00","DD","00","00","00","00",0,"PS","00","00",7,0,0,-6,7,0,100,0,1,1645,3,6,9999,1645,3,6,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"THIRTY YEAR'S WAR","MERGENTHEIM","BAVARIA","BAVARIA 1645","IMP ARMY","MERCY & WERTH","FR ARMY","TURENNE",7,7,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DST$T","00000","00000",3,0,"10000",1,"10000",0,"700","9300","11000",1,"11000",0,"3500","7500",5000,0,0,0,-1,0,0,-1,0,5000,0,0,0,15,0,0,6,0,0,1,0,0,0,0,1,0,1,1,3,9,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,"FF","00","00","00","00","00","BB","PS","00","DD","00","00","00","00",0,"WL","00","00",30,0,0,-57,0,-27,57,-57,1,1645,5,2,9999,1645,5,2,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"THIRTY YEAR'S WAR","ALLERHEIM (NORDLINGEN II)","BAVARIA","BAVARIA 1645","FR ARMY","CONDE","IMP ARMY","MERCY AND WERTH",3.2,3.2,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"RM0","000","DSTST","00000","00000",0,0,"18000",1,"18000",0,"7500","10500","16000",1,"16000",0,"6000","10000",5000,0,0,0,-1,0,0,4,0,5000,0,0,0,28,0,0,15,0,0,0,0,0,0,0,0,0,1,1,1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,"FF","00","00","EE","RF","00","SS","00","00","DO","EE","RF","EE","RF",0,"WD","00","00",56,-6,0,-33,25,-6,0,-17,1,1645,8,3,1700,1645,8,3,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"THIRTY YEAR'S WAR","LENS","FRANCE","NE FRANCE 1648","FR ARMY","CONDE","IMP ARMY","LEOPOLD WILLIAM",2,3.5,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTST","00000","00000",2,0,"14000",1,"14000",0,"4000","10000","18000",1,"18000",0,"10000","8000",5000,0,0,0,-1,0,0,0,0,8000,0,0,0,38,0,0,38,0,0,1,0,0,0,0,1,0,1,1,3,9,3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,"DE","00","00","00","00","00","BB","PS","00","DO","EE","RF","00","00",0,"WL","00","00",14,0,0,-63,10,-10,20,-20,2,1648,8,10,500,1648,8,10,530,1648,8,10,830,1648,8,10,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"ENGLISH CIVIL WAR","EDGEHILL","ENGLAND","EDGEHILL","ENG ROY ARMY","CHARLES I","ENG PARL ARMY","ESSEX",3.2,3.2,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,0,"14300",1,"14300",0,"2500","11800","14870",1,"14870",0,"2500","12370",3500,0,0,0,20,0,0,0,0,2500,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FF","00","00","00","00","00","BB","00","00","DO","FF","00","00","00",0,"WD","00","00",3,-6,60,0,2,-13,0,-60,1,1642,10,23,1500,1642,10,23,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"ENGLISH CIVIL WAR","MARSTON MOOR","ENGLAND","YORK","ENG PARL ARMY","MANCHESTER","ENG ROY ARMY","RUPERT",2.8,2.8,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","WHTST","00000","00000",0,0,"27000",1,"27000",0,"1500","25500","17500",1,"17500",0,"6000","11500",9000,0,0,0,25,0,0,0,0,6500,0,0,0,16,0,0,16,0,0,1,0,0,0,0,0,0,0,1,1,8,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"FF","00","00","00","00","00","BB","PS","00","DO","FF","00","00","00",0,"PP","RR","WL",0,-26,10,-10,3,0,0,-6,1,1644,7,2,1900,1644,7,2,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"ENGLISH CIVIL WAR","TIPPERMUIR","SCOTLAND","ABERDEEN","SCOT COV ARMY","ELCHO","SCOT ROY ARMY","MONTROSE",1.1,1.1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,0,"6800",1,"6800",0,"3000","3800","3000",1,"3000",0,"1","2999",800,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-0.5,3,9,1,-1,0,0,0,0,0,0,-2,0,0,0,0,0,0,"FF","00","00","00","00","00","RR","WL","00","DO","FF","00","00","00",0,"PS","00","00",9,-36,0,-33,23,0,200,0,1,1644,9,1,9999,1644,9,1,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"ENGLISH CIVIL WAR","KILSYTH","SCOTLAND","KILSYTH","SCOT ROY ARMY","MONTROSE","SCOT COV ARMY","BAILLIE",0.7,0.7,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTST","00000","00000",0,0,"4900",1,"4900",0,"6","4894","6800",1,"6800",0,"6000","800",500,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.8,9,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"FF","00","00","00","00","00","BB","PS","00","DD","00","00","00","00",0,"WL","00","00",0,-8,200,0,0,-10,0,-2,1,1644,8,15,9999,1644,8,15,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"ENGLISH CIVIL WAR","NEWBURY II","ENGLAND","NEWBURY II","ENG PARL ARMY","MANCHESTER","ENG ROY ARMY","CHARLES I",2.8,2,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,1,"HD","PD",1,0,0,"RM0","000","DSTFT","00000","00000",0,0,"22000",1,"22000",0,"500","21500","10000",1,"10000",0,"500","9500",9500,0,0,0,-1,0,0,-1,0,2000,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,5,7,2,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,"FF","00","00","EE","LF","00","PP","RR","00","DD","00","00","00","00",0,"WD","00","00",0,-14,50,0,0,-10,50,0,2,1644,10,27,600,1644,10,27,800,1644,10,27,1500,1644,10,27,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
