"ISQNO","WAR","NAME","LOCN","CAMPGN","NAMA","COA","NAMD","COD","WOFA1","WOFD1","YR1","MO1","DA1","HR1","WOFA2","WOFD2","YR2","MO2","DA2","HR2","WOFA3","WOFD3","YR3","MO3","DA3","HR3","POSTYPE","POST1","POST2","FRONT","DEPTH","TIME","TERRA1","TERRA2","WX1","WX2","WX3","SURPA","AEROA","STRA","CODEA","INTSTA","RERPA","CASA","FINSTA","STRD","CODED","INTSTD","RERPD","CASD","FINSTD","CAVA","TANKA","LTA","MBTA","ARTYA","FLYA","CTANKA","CARTYA","CFLYA","CAVD","TANKD","LTD","MBTD","ARTYD","FLYD","CTANKD","CARTYD","CFLYD","CEA","LEADA","TRNGA","MORALA","LOGSA","MOMNTA","INTELA","TECHA","INITA","WINA","KMDA","ACHA","ACHD","CRIT","QUALA","RESA","MOBILA","AIRA","FPREPA","WXA","TERRA","LEADAA","PLANA","SURPAA","MANA","LOGSAA","FORTSA","DEEPA","PRIA1","PRIA2","PRIA3","SECA1","SECA2","SECA3","RESOA1","RESOA2","RESOA3","PRID1","PRID2","PRID3","SECD1","SECD2","SECD3","RESOD1","RESOD2","RESOD3","STRAPL","STRAMI","CASAPL","CASAMI","STRDPL","STRDMI","CASDPL","CASDMI","NOATP","ATPBYR1","ATPBMN1","ATPBDA1","ATPBHR1","ATPEYR1","ATPEMN1","ATPEDA1","ATPEHR1","ATPBYR2","ATPBMN2","ATPBDA2","ATPBHR2","ATPEYR2","ATPEMN2","ATPEDA2","ATPEHR2","ATPBYR3","ATPBMN3","ATPBDA3","ATPBHR3","ATPEYR3","ATPEMN3","ATPEDA3","ATPEHR3","ATPBYR4","ATPBMN4","ATPBDA4","ATPBHR4","ATPEYR4","ATPEMN4","ATPEDA4","ATPEHR4","ATPBYR5","ATPBMN5","ATPBDA5","ATPBHR5","ATPEYR5","ATPEMN5","ATPEDA5","ATPEHR5","ATPBYR6","ATPBMN6","ATPBDA6","ATPBHR6","ATPEYR6","ATPEMN6","ATPEDA6","ATPEHR6","ATPBYR7","ATPBMN7","ATPBDA7","ATPBHR7","ATPEYR7","ATPEMN7","ATPEDA7","ATPEHR7","ATPBYR8","ATPBMN8","ATPBDA8","ATPBHR8","ATPEYR8","ATPEMN8","ATPEDA8","ATPEHR8","ATPBYR9","ATPBMN9","ATPBDA9","ATPBHR9","ATPEYR9","ATPEMN9","ATPEDA9","ATPEHR9","ATPBYR10","ATPBMN10","ATPBDA10","ATPBHR10","ATPEYR10","ATPEMN10","ATPEDA10","ATPEHR10","INSTA","INSTD","CAMPAGN"
1,"NETHERLAND'S WAR OF INDEPENDENCE","NIEUPORT","SPANISH FLANDERS","NIEUPORT 1600","SP NETHERLANDS ARMY","ALBERT OF AUSTRIA","DU ARMY OF THE STATES GENERAL","MAURICE OF NASSAU",0.9,0.9,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RBD","000","DSTST","00000","00000",0,0,"11500",1,"11500",0,"4000","7500","11300",1,"11300",0,"1000","10300",1500,0,0,0,8,0,0,8,0,1400,0,0,0,6,0,0,0,0,-1,-1,0,0,0,1,0,0,1,-1,-6.4,3,8,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,"FF","00","00","00","00","00","RR","WD","00","DO","FF","00","00","00",0,"00","00","00",0,-5,0,-25,33,-3,20,0,1,1600,7,2,1430,1600,7,2,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"THIRTY YEAR'S WAR","WHITE MOUNTAIN","BOHEMIA","BOHEMIA 1620","IMP & HOLY LEAGUE ARMY","BUCQUOI","BOH REB ARMY","CHRISTIAN OF ANHALT-BERNBERG",1.5,1.5,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,1,"HD","PD",1,0,0,"RM0","000","DSTWT","00000","00000",0,0,"40000",1,"40000",0,"400","39600","21000",1,"21000",0,"5000","16000",7500,0,0,0,12,0,0,0,0,11000,0,0,0,10,0,0,10,0,0,0,0,0,0,1,0,0,1,1,1,8,2,1,1,1,0,0,0,0,-1,1,0,0,0,0,-1,0,"FF","00","00","00","00","00","BB","PS","00","DO","FF","00","00","00",0,"RR","WL","00",0,-50,10,-10,29,0,20,0,1,1620,11,8,1200,1620,11,8,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"THIRTY YEAR'S WAR","WIMPFEN","PALATINATE","PALATINATE 1622","HOLY LEAGUE & SP ARMY","TILLY & CORDOVA","PROT UNION ARMY","BADEN-DURLACH",3.7,2.8,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSH$T","00000","00000",0,0,"20000",1,"20000",0,"5000","15000","20000",1,"20000",0,"5800","14200",4000,0,0,0,8,0,0,0,0,4000,0,0,0,40,0,0,20,0,0,1,0,0,0,-1,0,0,0,1,1,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"FF","00","00","00","00","00","BB","PS","00","DD","00","00","00","00",0,"WL","00","00",0,-10,0,-90,0,-25,3,0,2,1622,5,6,330,1622,5,6,1000,1622,5,6,1400,1622,5,6,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"THIRTY YEAR'S WAR","DESSAU BRIDGE","ANHALT","DANISH INVASION OF GERMANY 1625-26","PROT UNION ARMY","MANSFIELD","IMP ARMY","WALLENSTEIN",-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"RM0","000","DST$T","00000","00000",-1,0,"8500",1,"8500",0,"3000","5500","16000",1,"16000",0,"1000","15000",2500,0,0,0,9,0,0,9,0,10000,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,-2,3,9,1,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,"FF","00","00","00","00","00","WL","00","00","DO","DE","00","00","00",0,"BB","PS","00",29,0,33,0,25,0,20,0,1,1626,4,25,9999,1626,4,25,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"THIRTY YEAR'S WAR","LUTTER","BRUNSWICK","DANISH INVASION OF GERMANY 1625-26","HOLY LEAGUE ARMY","TILLY","DAN ARMY","CHRISTIAN IV",-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTST","00000","00000",0,0,"17000",1,"17000",0,"2000","15000","20000",1,"20000",0,"7000","13000",7000,0,0,0,12,0,0,0,0,10000,0,0,0,22,0,0,22,0,0,1,0,1,0,1,0,0,0,1,3,7,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"FF","00","00","00","00","00","BB","PS","00","DO","00","00","00","00",0,"WL","00","00",6,0,25,0,0,-25,43,-14,1,1626,8,27,9999,1626,8,27,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"THIRTY YEAR'S WAR","BREITENFELD I","SAXONY","LEIPZIG 1631","IMP & HOLY LEAGUE ARMY","TILLY","SW & SAX ARMY","GUSTAVUS ADOLPHUS",3.2,3.6,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,0,"32000",1,"32000",0,"13600","18400","37850",1,"37850",0,"6100","31750",11000,0,0,0,26,0,0,26,0,12850,0,0,0,100,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-2,4,9,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,"FF","EE","LF","00","00","00","PP","RR","WL","DO","EE","LR","00","00",0,"BB","00","00",6,0,0,-12,0,-5,0,-18,1,1631,9,17,1430,1631,9,17,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"THIRTY YEAR'S WAR","THE LECH","BAVARIA","BAVARIA 1632","SW ARMY","GUSTAVUS ADOLPHUS","IMP ARMY","TILLY",8,21,1632,4,15,9999,9.7,13,1632,4,16,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"RM0","000","DST$T","00000","00000",0,0,"33000",1,"33000",0,"1000","32000","27000",1,"27000",0,"3000","24000",-1,0,0,0,70,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,1,1,3.2,9,3,1,0,0,0,0,0,0,-1,1,1,0,0,0,-1,0,"FF","00","00","00","00","00","SS","00","00","DO","FF","00","00","00",0,"WD","00","00",36,-24,100,0,0,-35,33,0,1,1632,4,15,9999,1632,4,16,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"THIRTY YEAR'S WAR","ALTE VESTE","FRANCONIA","NUREMBERG 1632","SW ARMY","GUSTAVUS ADOLPHUS","IMP ARMY","WALLENSTEIN",2.3,2.7,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"GM0","000","WLTFT","00000","00000",0,0,"46000",1,"46000",0,"4000","42000","60000",1,"60000",0,"2000","58000",16000,0,0,0,-1,0,0,-1,0,13000,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,4,8,1,0,-2,0,0,0,0,-2,0,0,0,0,0,-1,0,"FF","00","00","00","00","00","RR","WD","00","DO","FF","00","00","00",0,"RR","SS","00",9,0,0,-50,0,-25,0,-50,2,1632,9,3,1000,1632,9,3,2000,1632,9,4,1000,1632,9,4,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"THIRTY YEAR'S WAR","LUETZEN","SAXONY","SAXONY 1632","SW ARMY","GUSTAVUS ADOLPHUS","IMP ARMY","WALLENSTEIN",4.4,4.8,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"HD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,0,"18996",1,"18996",0,"4000","14996","21770",3,"16770",5000,"5000","16770",6210,0,0,0,60,0,0,-1,0,9200,0,0,0,25,0,0,-1,0,0,1,0,0,0,0,0,0,1,1,1.5,9,5,1,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,"FF","00","00","00","00","00","PP","00","00","DO","FF","00","EE","RR",0,"RR","WD","00",5,-5,100,0,15,0,100,0,1,1632,11,16,1100,1632,11,16,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"THIRTY YEAR'S WAR","NORDLINGEN I","BAVARIA","BAVARIA 1634","SW ARMY","SAXE-WEIMAR & HORN","SP & IMP ARMY","CARDINAL-INFANTE AND FERDINAND",2.8,5.6,9999,99,99,9999,-1,-1,9999,99,99,9999,-1,-1,9999,99,99,9999,0,"PD","OO",0,0,0,"RM0","000","DSTFT","00000","00000",0,0,"25000",1,"25000",0,"12000","13000","35000",1,"35000",0,"2000","33000",10000,0,0,0,80,0,0,80,0,15000,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-2.5,3,9,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,"EE","RF","00","FE","LF","00","RR","WL","00","DO","00","00","00","00",0,"PS","WD","00",10,-10,75,0,0,-6,10,-10,1,1634,9,6,530,1634,9,6,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
