isqno,name,war,war2,war3,cdb13_war,cdb13_theater,dbpedia,cow_warno,cow_warname,comment,sidea
148,LUNDY'S LANE,WAR OF 1812,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,Battle_of_Lundy%27s_Lane,,,,A
149,NEW ORLEANS,WAR OF 1812,WAR OF 1812,WAR OF 1812,War of 1812 of 1812-1815,,Battle_of_New_Orleans,,,,B
150,BOYACA,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,First Bolivar Expedition of 1817-1819,,Battle_of_Boyacá,303,First Bolivar Expedition of 1817-1819,,B
151,CARABOBO,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,Battle_of_Carabobo,308,Second Bolivar Expedition of 1821-1822,,B
152,BOMBONA,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,,308,Second Bolivar Expedition of 1821-1822,,B
153,PICHINCHA,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,Battle_of_Pichincha,308,Second Bolivar Expedition of 1821-1822,,A
154,JUNIN,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Liberation of Peru of 1824-1825,,Battle_of_Junín,312,Liberation of Peru of 1824-1825,,B
155,AYACUCHO,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,LATIN AMERICAN WARS OF INDEPENDENCE,Liberation of Peru of 1824-1825,,Battle_of_Ayacucho,312,Liberation of Peru of 1824-1825,,A
156,SAN JACINTO,WAR OF TEXAN INDEPENDENCE,WAR OF TEXAN INDEPENDENCE,WAR OF TEXAN INDEPENDENCE,Texan War of 1835-1836,,Battle_of_San_Jacinto,527,Texan War of 1835-1836,,A
157,PALO ALTO,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Palo_Alto,7,Mexican-American War of 1846-1847,,A
158,RESACA DE LA PALMA,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Resaca_de_la_Palma,7,Mexican-American War of 1846-1847,,A
159,BUENA VISTA,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Buena_Vista,7,Mexican-American War of 1846-1847,,B
160,CERRO GORDO,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Cerro_Gordo,7,Mexican-American War of 1846-1847,,A
161,CONTRERAS,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Contreras,7,Mexican-American War of 1846-1847,,A
162,CHURUBUSCO,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Churubusco,7,Mexican-American War of 1846-1847,,A
163,MOLINO DEL REY,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Molino_del_Rey,7,Mexican-American War of 1846-1847,,A
164,CHAPULTEPEC,US-MEXICAN WAR,US-MEXICAN WAR,US-MEXICAN WAR,Mexican-American War of 1846-1847,,Battle_of_Chapultepec,7,Mexican-American War of 1846-1847,,A
165,THE ALMA,CRIMEAN WAR,CRIMEAN WAR,CRIMEAN WAR,Crimean War of 1853-1856,,Battle_of_Alma,22,Crimean War of 1853-1856,,A
166,INKERMAN,CRIMEAN WAR,CRIMEAN WAR,CRIMEAN WAR,Crimean War of 1853-1856,,Battle_of_Inkerman,22,Crimean War of 1853-1856,,B
167,MAGENTA,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,War of Italian Unification of 1859,,Battle_of_Magenta,28,War of Italian Unification of 1859,,B
168,SOLFERINO,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,War of Italian Unification of 1859,,Battle_of_Solferino,28,War of Italian Unification of 1859,,B
169,SADOWA (KOENIGGRATZ),AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,Seven Weeks War of 1866,,Battle_of_Königgrätz,55,Seven Weeks War of 1866,,B
170,CUSTOZZA II,AUSTRO-ITALIAN WAR,AUSTRO-ITALIAN WAR,AUSTRO-ITALIAN WAR,Seven Weeks War of 1866,,Battle_of_Custoza_(1866),55,Seven Weeks War of 1866,,B
171,FIRST BULL RUN (MANASSAS),AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,First_Battle_of_Bull_Run,572,U.S. Civil War of 1861-1865,,B
172,WILSON'S CREEK,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Wilson%27s_Creek,572,U.S. Civil War of 1861-1865,,B
173,BELMONT,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Belmont,572,U.S. Civil War of 1861-1865,,B
174,MILL SPRINGS,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Mill_Springs,572,U.S. Civil War of 1861-1865,,A
175,FORT DONELSON,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Fort_Donelson,572,U.S. Civil War of 1861-1865,,A
176,PEA RIDGE,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Pea_Ridge,572,U.S. Civil War of 1861-1865,,A
177,KERNSTOWN,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,First_Battle_of_Kernstown,572,U.S. Civil War of 1861-1865,,A
178,SHILOH,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Shiloh,572,U.S. Civil War of 1861-1865,,A
179,FRONT ROYAL,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Front_Royal,572,U.S. Civil War of 1861-1865,,A
180,FIRST WINCHESTER,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,First_Battle_of_Winchester,572,U.S. Civil War of 1861-1865,,A
181,CROSS KEYS,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Cross_Keys,572,U.S. Civil War of 1861-1865,,B
182,PORT REPUBLIC,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Port_Republic,572,U.S. Civil War of 1861-1865,,A
183,SEVEN PINES (FAIR OAKS),AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Seven_Pines,572,U.S. Civil War of 1861-1865,,A
184,MECHANICSVILLE,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Beaver_Dam_Creek,572,U.S. Civil War of 1861-1865,,A
185,GAINES'S MILL,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Gaines%27s_Mill,572,U.S. Civil War of 1861-1865,,A
186,GLENDALE-FRAYSER'S FARM,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Savage%27s_Station Battle_of_White_Oak_Swamp Battle_of_Glendale ,572,U.S. Civil War of 1861-1865,,A
187,MALVERN HILL,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Malvern_Hill,572,U.S. Civil War of 1861-1865,,A
188,CEDAR MOUNTAIN,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Cedar_Mountain,572,U.S. Civil War of 1861-1865,,B
189,SECOND BULL RUN (MANASSAS),AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Second_Battle_of_Bull_Run,572,U.S. Civil War of 1861-1865,,B
190,SOUTH MOUNTAIN,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_South_Mountain,572,U.S. Civil War of 1861-1865,,B
191,ANTIETAM (SHARPSBURG),AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Antietam,572,U.S. Civil War of 1861-1865,,B
192,CORINTH,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Second_Battle_of_Corinth,572,U.S. Civil War of 1861-1865,,B
193,PERRYVILLE,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Perryville,572,U.S. Civil War of 1861-1865,,B
194,FREDERICKSBURG,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Fredericksburg,572,U.S. Civil War of 1861-1865,,B
195,MURFREESBORO (STONE'S RIVER),AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Stones_River,572,U.S. Civil War of 1861-1865,,A
196,CHANCELLORSVILLE,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Chancellorsville,572,U.S. Civil War of 1861-1865,,B
197,CHAMPION'S HILL,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Champion_Hill,572,U.S. Civil War of 1861-1865,,B
198,BRANDY STATION,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Brandy_Station,572,U.S. Civil War of 1861-1865,,B
199,GETTYSBURG,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Gettysburg,572,U.S. Civil War of 1861-1865,,A
200,CHICKAMAUGA,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Chickamauga,572,U.S. Civil War of 1861-1865,,A
201,CHATTANOOGA,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Chattanooga_Campaign,572,U.S. Civil War of 1861-1865,,B
202,THE WILDERNESS,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_the_Wilderness,572,U.S. Civil War of 1861-1865,,B
203,SPOTSYLVANIA,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Spotsylvania_Court_House,572,U.S. Civil War of 1861-1865,,B
204,NEW MARKET,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_New_Market,572,U.S. Civil War of 1861-1865,,A
205,COLD HARBOR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Cold_Harbor,572,U.S. Civil War of 1861-1865,,B
206,KENESAW MOUNTAIN,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Kennesaw_Mountain,572,U.S. Civil War of 1861-1865,,B
207,PEACHTREE CREEK,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Peachtree_Creek,572,U.S. Civil War of 1861-1865,,A
208,ATLANTA,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Atlanta,572,U.S. Civil War of 1861-1865,,A
209,PETERSBURG,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Second_Battle_of_Petersburg,572,U.S. Civil War of 1861-1865,,B
210,GLOBE TAVERN,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Globe_Tavern,572,U.S. Civil War of 1861-1865,,B
211,OPEQUON CREEK (THIRD WINCHESTER),AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Opequon,572,U.S. Civil War of 1861-1865,,B
212,CEDAR CREEK,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Cedar_Creek,572,U.S. Civil War of 1861-1865,,A
213,FRANKLIN,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Franklin_(1864),572,U.S. Civil War of 1861-1865,,A
214,NASHVILLE,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Nashville,572,U.S. Civil War of 1861-1865,,B
215,BENTONVILLE,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Bentonville,572,U.S. Civil War of 1861-1865,,A
216,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Dinwiddie_Court_House,572,U.S. Civil War of 1861-1865,,B
217,FIVE FORKS,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Five_Forks,572,U.S. Civil War of 1861-1865,,B
218,SELMA,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Selma,572,U.S. Civil War of 1861-1865,,B
219,SAYLOR'S CREEK,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,Battle_of_Sayler%27s_Creek,572,U.S. Civil War of 1861-1865,,B
220,WEISSENBURG,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Wissembourg_(1870),58,Franco-Prussian War of 1870-1871,,B
221,FROESCHWILLER,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Wörth_(1870),58,Franco-Prussian War of 1870-1871,,B
222,SPICHERN,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Spicheren,58,Franco-Prussian War of 1870-1871,,B
223,MARS LA TOUR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Mars-la-Tour,58,Franco-Prussian War of 1870-1871,,B
224,GRAVELOTTE-ST. PRIVAT,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Gravelotte,58,Franco-Prussian War of 1870-1871,,B
225,SEDAN,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Sedan_(1870),58,Franco-Prussian War of 1870-1871,,B
226,COULMIERS,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Coulmiers,58,Franco-Prussian War of 1870-1871,,A
227,ORLEANS,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Second_Battle_of_Orléans_(1870),58,Franco-Prussian War of 1870-1871,,B
228,LE MANS,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Battle_of_Le_Mans,58,Franco-Prussian War of 1870-1871,,B
229,BELFORT,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,Siege_of_Belfort,58,Franco-Prussian War of 1870-1871,,A
230,ISANDHLWANA,ZULU WAR,ZULU WAR,ZULU WAR,Second British-Zulu War of 1879,,Battle_of_Isandlwana,380,Second British-Zulu War of 1879,,B
231,ULUNDI,ZULU WAR,ZULU WAR,ZULU WAR,Second British-Zulu War of 1879,,Battle_of_Ulundi,380,Second British-Zulu War of 1879,,B
232,MAJUBA HILL,TRANSVAAL REVOLT,TRANSVAAL REVOLT,TRANSVAAL REVOLT,First Boer War of 1880-1881,,Battle_of_Majuba_Hill,382,First Boer War of 1880-1881,,A
233,TEL EL-KEBIR,EGYPT AND THE SUDAN,EGYPT AND THE SUDAN,EGYPT AND THE SUDAN,Conquest of Egypt of 1882,,Battle_of_Tel_el-Kebir,65,Conquest of Egypt of 1882,,A
234,OMDURMAN,EGYPT AND THE SUDAN,EGYPT AND THE SUDAN,EGYPT AND THE SUDAN,Second Second British-Mahdi War of 1896-1899,,Battle_of_Omdurman,409,Second British-Mahdi War of 1896-1899,,B
235,ADOWA,ITALO-ETHIOPIAN WAR,ITALO-ETHIOPIAN WAR,ITALO-ETHIOPIAN WAR,Second Italian-Ethiopian War of 1895-1896,,Battle_of_Adwa,407,Second Italian-Ethiopian War of 1895-1896,,B
236,MODDER RIVER,BOER WAR,BOER WAR,BOER WAR,Second Boer War of 1899-1902,,Battle_of_Modder_River,416,Second Boer War of 1899-1902,,B
237,MAGERSFONTEIN,BOER WAR,BOER WAR,BOER WAR,Second Boer War of 1899-1902,,Battle_of_Magersfontein,416,Second Boer War of 1899-1902,,B
238,COLENSO,BOER WAR,BOER WAR,BOER WAR,Second Boer War of 1899-1902,,Battle_of_Colenso,416,Second Boer War of 1899-1902,,B
239,SPION KOP,BOER WAR,BOER WAR,BOER WAR,Second Boer War of 1899-1902,,Battle_of_Spion_Kop,416,Second Boer War of 1899-1902,,B
240,PAARDEBURG,BOER WAR,BOER WAR,BOER WAR,Second Boer War of 1899-1902,,Battle_of_Paardeberg,416,Second Boer War of 1899-1902,,B
241,SAN JUAN HILL AND EL CANEY,SPANISH-AMERICAN WAR,SPANISH-AMERICAN WAR,SPANISH-AMERICAN WAR,Spanish-American War of 1898,,Battle_of_San_Juan_Hill,79,Spanish-American War of 1898,,A
242,THE YALU,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,Russo-Japanese War of 1904-1905,,Battle_of_Yalu_River_(1904),85,Russo-Japanese War of 1904-1905,,A
243,TELISSU,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,Russo-Japanese War of 1904-1905,,Battle_of_Te-li-Ssu,85,Russo-Japanese War of 1904-1905,,A
244,LIAOYANG,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,Russo-Japanese War of 1904-1905,,Battle_of_Liaoyang,85,Russo-Japanese War of 1904-1905,,A
245,THE SHA-HO,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,Russo-Japanese War of 1904-1905,,Battle_of_Shaho,85,Russo-Japanese War of 1904-1905,,B
246,SANDEPU,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,Russo-Japanese War of 1904-1905,,Battle_of_Sandepu,85,Russo-Japanese War of 1904-1905,,B
247,MUKDEN,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,RUSSO-JAPANESE WAR,Russo-Japanese War of 1904-1905,,Battle_of_Mukden,85,Russo-Japanese War of 1904-1905,,A
248,KUMANOVO,THE BALKAN WARS,THE BALKAN WARS,THE BALKAN WARS,First Balkan War of 1912-1913,,Battle_of_Kumanovo,100,First Balkan War of 1912-1913,,A
249,LULE BURGAS,THE BALKAN WARS,THE BALKAN WARS,THE BALKAN WARS,First Balkan War of 1912-1913,,Battle_of_Lule_Burgas,100,First Balkan War of 1912-1913,,A
250,PRELIP,THE BALKAN WARS,THE BALKAN WARS,THE BALKAN WARS,First Balkan War of 1912-1913,,Battle_of_Prilep,100,First Balkan War of 1912-1913,,A
251,MONASTIR,THE BALKAN WARS,THE BALKAN WARS,THE BALKAN WARS,First Balkan War of 1912-1913,,Battle_of_Monastir,100,First Balkan War of 1912-1913,,A
252,ADRIANOPLE,THE BALKAN WARS,THE BALKAN WARS,THE BALKAN WARS,First Balkan War of 1912-1913,,Battle_of_Adrianople_(1913),100,First Balkan War of 1912-1913,,A
253,WARSAW,RUSSO-POLISH WAR (1920),RUSSO-POLISH WAR (1920),RUSSO-POLISH WAR (1920),Lithuanian-Polish War of 1920,,Battle_of_Warsaw_(1920),117,Lithuanian-Polish War of 1920,,A
254,THE NIEMAN,RUSSO-POLISH WAR (1920),RUSSO-POLISH WAR (1920),RUSSO-POLISH WAR (1920),Lithuanian-Polish War of 1920,,Battle_of_the_Niemen_River,117,Lithuanian-Polish War of 1920,,A
255,GUADALAJARA-BRIHUEGA,THE SPANISH CIVIL WAR,THE SPANISH CIVIL WAR,THE SPANISH CIVIL WAR,Spanish Civil War of 1936-1939,,Battle_of_Guadalajara,718,Spanish Civil War of 1936-1939,,A
256,CHANGKUFENG-SHACHAOFENG,THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),Changkufeng War of 1938,,Battle_of_Lake_Khasan,133,Changkufeng War of 1938,,A
257,HILL 52-SHACHAOFENG,THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),Changkufeng War of 1938,,Battle_of_Lake_Khasan,133,Changkufeng War of 1938,,B
258,CHANGKUFENG-HILL 52,THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),Changkufeng War of 1938,,Battle_of_Lake_Khasan,133,Changkufeng War of 1938,,A
259,NOMONHAN-OPENING ENGAGEMENT,THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),Nomonhan War of 1939,,Battles_of_Khalkhin_Gol,136,Nomonhan War of 1939,,A
260,NOMONHAN-SOVIET COUNTEROFFENSIVE,THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),THE MANCHURIAN INCIDENT (1938-1939),Nomonhan War of 1939,,Battles_of_Khalkhin_Gol,136,Nomonhan War of 1939,,B
261,SUOMUSSALMI,RUSSO-FINISH WAR (1939-1940),RUSSO-FINISH WAR (1939-1940),RUSSO-FINISH WAR (1939-1940),Russo-Finnish War of 1939-1940,,Battle_of_Suomussalmi,142,Russo-Finnish War of 1939-1940,,B
262,ALSACE-LORRAINE I,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Invasion_of_Lorraine,106,World War I of 1914-1918,,B
263,ALSACE-LORRAINE II,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Invasion_of_Lorraine,106,World War I of 1914-1918,,A
264,THE ARDENNES,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Battle_of_the_Ardennes,106,World War I of 1914-1918,,B
265,THE SAMBRE,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Battle_of_Charleroi,106,World War I of 1914-1918,,A
266,MONS,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Battle_of_Mons,106,World War I of 1914-1918,,A
267,LE CATEAU,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Battle_of_Le_Cateau,106,World War I of 1914-1918,,A
268,GUISE,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,Battle_of_St._Quentin_(1914),106,World War I of 1914-1918,,A
269,HEIGHTS OF NANCY,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,,106,World War I of 1914-1918,,A
270,OURCQ I,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,First_Battle_of_the_Marne,106,World War I of 1914-1918,,B
271,OURCQ II,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,First_Battle_of_the_Marne,106,World War I of 1914-1918,,B
272,PETIT MORIN,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,First_Battle_of_the_Marne,106,World War I of 1914-1918,,B
273,TWO MORINS,WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I (WESTERN FRONT 1914),WORLD WAR I,World War I of 1914-1918,Western Front,First_Battle_of_the_Marne,106,World War I of 1914-1918,,B
