isqno,name,war,war2,war3,cdb13_war,cdb13_theater,dbpedia,cow_warno,cow_warname,comment,sidea
34,SINSHEIM,DUTCH WAR,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,Battle_of_Sinsheim,,,,A
35,SENEF,DUTCH WAR,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,Battle_of_Seneffe,,,,A
36,ENZHEIM,DUTCH WAR,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,Battle_of_Enzheim,,,,A
37,TURCKHEIM,DUTCH WAR,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,Battle_of_Turckheim,,,,A
38,FEHRBELLIN,DUTCH WAR,DUTCH WAR,DUTCH WAR,Franco-Dutch War of 1672-1678,,Battle_of_Fehrbellin,,,,B
39,SEDGEMOOR,MONMOUTH'S REBELLION,MONMOUTH'S REBELLION,MONMOUTH'S REBELLION,Monmouth Rebellion of 1685,,Battle_of_Sedgemoor,,,,A
40,KILLIECRANKIE,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Killiecrankie,,,,A
41,WALCOURT,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Walcourt,,,,A
42,FLEURUS,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Fleurus_(1690),,,,A
43,THE BOYNE,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_the_Boyne,,,,B
44,AUGHRIM,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Aughrim,,,,B
45,STEENKERKE,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Steenkerque,,,,B
46,NEERWINDEN (LANDEN),KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Landen,,,,A
47,MARSAGLIA,KING WILLIAM'S WAR,KING WILLIAM'S WAR,KING WILLIAM'S WAR,Nine Years' War of 1688-1697,,Battle_of_Marsaglia,,,,A
48,ZENTA,AUSTRO-TURKISH WAR,"AUSTRO-TURKISH WAR, 1688-1699","AUSTRO-TURKISH WAR, 1688-1699",Great Turkish War of 1683-1699,,Battle_of_Zenta,,,,B
49,POLTAVA,GREAT NORTHERN WAR,GREAT NORTHERN WAR,GREAT NORTHERN WAR,Great Northern War of 1700-1721,,Battle_of_Poltava,,,,B
50,BLENHEIM,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,Battle_of_Blenheim,,,,A
51,RAMILLIES,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,Battle_of_Ramillies,,,,A
